qty,entrydate,entrytime,entryprice,exitdate,exittime,exitprice
100,20200103,1030,30982.29362,20200103,1145,31041.77758
-100,20200106,0945,31595.02757,20200106,1100,31666.71417
-100,20200106,1300,31801.55828,20200106,1315,31776.29488
-100,20200106,1445,31936.63771,20200106,1500,31865.40055
100,20200107,1000,31431.7146,20200107,1100,31648.52415
-100,20200107,1500,31795.4914,20200107,1530,31746.03175
100,20200109,1230,31182.13014,20200109,1330,31072.20871
100,20200113,1130,31000.11005,20200113,1315,31104.19907
-100,20200114,1145,31167.06638,20200114,1215,31089.4038
100,20200114,1245,31097.86342,20200114,1530,31085.87629
100,20200115,1300,31401.80812,20200115,1345,31468.50946
100,20200116,1145,31416.90229,20200116,1245,31357.54659
100,20200116,1415,31245.11795,20200116,1430,31283.18951
-100,20200117,1145,31510.95006,20200117,1200,31475.98776
-100,20200117,1230,31473.85781,20200117,1430,31530.82138
100,20200120,1200,31791.4481,20200120,1245,31832.13008
-100,20200120,1330,31952.96524,20200120,1430,32092.78666
100,20200120,1515,32072.86956,20200120,1530,32065.67049
100,20200121,1500,32185.43963,20200121,1530,32200.93383
100,20200122,0930,32143.95348,20200122,1030,32403.46199
100,20200122,1315,32378.91097,20200122,1415,32526.67187
-100,20200122,1430,32523.49823,20200122,1500,32451.99134
100,20200123,0945,32327.83006,20200123,1100,32424.52786
-100,20200124,0930,32218.46698,20200124,0945,32080.12332
-100,20200124,0945,32080.12332,20200124,1530,31918.59482
-100,20200127,1400,32244.64658,20200127,1445,32357.1714
-100,20200128,0930,32323.38904,20200128,1500,32545.67378
-100,20200129,0945,32254.89105,20200129,1530,32357.22375
100,20200130,1200,32628.66298,20200130,1245,32679.73856
100,20200130,1345,32676.9087,20200130,1415,32756.86707
-100,20200131,1000,32288.21755,20200131,1115,32366.43989
100,20200201,1415,32909.13459,20200201,1445,33200.80678
-100,20200203,0930,33457.51648,20200203,1530,33266.79973
-100,20200204,1300,32631.64421,20200204,1345,32548.79879
100,20200205,0945,32412.80954,20200205,1030,32347.01882
100,20200205,1045,32341.52652,20200205,1100,32376.08055
-100,20200205,1215,32587.0359,20200205,1245,32505.84293
-100,20200207,1030,32107.6763,20200207,1045,32070.14382
100,20200207,1300,31974.36935,20200207,1530,32022.54387
100,20200210,1115,32169.3394,20200210,1215,32137.60035
100,20200210,1345,32164.68318,20200210,1430,32227.34458
-100,20200211,1230,31831.92742,20200211,1400,31781.34435
-100,20200211,1515,31839.12328,20200211,1530,31867.43149
100,20200212,1045,31690.69878,20200212,1345,31740.03641
100,20200212,1430,31660.0972,20200212,1530,31682.66641
-100,20200213,1030,31928.22535,20200213,1115,31890.39908
-100,20200213,1130,31892.4332,20200213,1145,31931.64074
-100,20200213,1230,31989.35394,20200213,1330,32046.14645
100,20200213,1445,32001.48487,20200213,1500,32041.32049
100,20200214,0945,31825.84895,20200214,1015,31887.7551
100,20200214,1030,31897.87576,20200214,1100,32308.71625
-100,20200214,1345,32316.59926,20200214,1400,32271.70191
100,20200214,1415,32275.92039,20200214,1430,32329.39777
-100,20200218,0945,32774.04427,20200218,1045,32888.02942
-100,20200218,1230,32956.58464,20200218,1300,32917.74678
-100,20200218,1500,32830.37203,20200218,1515,32631.75069
-100,20200219,1015,32515.03821,20200219,1230,32447.25293
100,20200219,1300,32423.00347,20200219,1330,32455.57238
100,20200219,1445,32449.14813,20200219,1500,32394.38217
100,20200220,0945,32373.40784,20200220,1100,32278.88961
100,20200220,1215,32195.90565,20200220,1330,32252.81043
-100,20200224,1345,32739.97584,20200224,1430,32797.63857
-100,20200224,1500,32853.13008,20200224,1530,32843.0954
100,20200225,1345,32784.09054,20200225,1415,32914.6047
-100,20200226,1015,33025.09908,20200226,1115,33071.24373
-100,20200226,1115,33071.24373,20200226,1300,33016.75766
100,20200226,1400,32881.59502,20200226,1430,33042.1221
-100,20200227,1215,33345.61564,20200227,1230,33293.4367
100,20200227,1330,33296.92869,20200227,1500,33159.02738
-100,20200228,1230,34223.07628,20200228,1300,34044.92909
100,20200228,1315,34096.41101,20200228,1430,34231.92127
-100,20200228,1515,34400.6715,20200228,1530,34374.89258
-100,20200303,1145,34667.45246,20200303,1230,34443.92013
100,20200303,1400,34351.45315,20200303,1530,34145.89174
100,20200305,0930,34832.34322,20200305,1100,34492.45219
100,20200305,1230,34389.55108,20200305,1345,34572.70727
-100,20200306,0930,36174.21502,20200306,1530,36036.03604
-100,20200309,1000,37351.06264,20200309,1245,37475.50039
-100,20200312,1200,41179.46216,20200312,1230,40616.06447
-100,20200312,1330,40859.68783,20200312,1345,40576.51107
100,20200312,1400,40896.78469,20200312,1415,41319.92364
100,20200313,1100,42335.29981,20200313,1230,40816.24323
-100,20200313,1445,40587.71004,20200313,1530,39603.9604
-100,20200316,0945,42545.22557,20200316,1100,41999.16002
-100,20200316,1445,43184.23257,20200316,1530,43668.12227
-100,20200317,1145,43685.482,20200317,1315,43290.4181
-100,20200317,1415,44078.30069,20200317,1430,44426.4764
100,20200318,1045,46349.83465,20200318,1100,46959.26988
-100,20200320,0945,51525.14427,20200320,1000,50859.78466
100,20200320,1400,49644.79152,20200320,1530,49358.34156
100,20200323,1100,57085.44549,20200323,1530,58962.26415
100,20200324,0930,58172.00298,20200324,1015,61014.11562
-100,20200324,1030,61309.82306,20200324,1100,59087.68613
-100,20200324,1215,59024.73431,20200324,1245,57403.63365
100,20200325,0930,59066.74542,20200325,1245,56842.72754
100,20200326,1030,50555.7339,20200326,1215,49680.80085
-100,20200326,1415,51995.59077,20200326,1500,50790.16804
-100,20200327,1330,51197.11658,20200327,1345,50315.0983
100,20200327,1445,50740.30099,20200327,1530,50540.78641
-100,20200330,1030,51096.40102,20200330,1230,51613.16962
-100,20200330,1500,53185.83129,20200330,1530,53290.70077
-100,20200331,1345,52301.25523,20200331,1400,51870.04479
100,20200403,1130,56987.52543,20200403,1300,57332.87467
-100,20200403,1300,57332.87467,20200403,1345,56888.9698
-100,20200407,1045,55490.50835,20200407,1115,55024.71986
-100,20200408,1200,52246.74046,20200408,1345,52899.8368
100,20200408,1500,52728.29374,20200408,1515,53097.01621
100,20200409,0945,50906.1291,20200409,1100,51970.45999
100,20200409,1515,50515.25561,20200409,1530,50697.08492
100,20200413,1200,50945.93872,20200413,1315,51538.42189
-100,20200413,1330,51488.0033,20200413,1415,51833.74844
100,20200415,1015,49785.67268,20200415,1130,50026.63919
-100,20200415,1200,50132.85206,20200415,1300,50494.08462
-100,20200415,1430,52788.55544,20200415,1530,52498.95002
100,20200416,1230,51643.55618,20200416,1245,51924.85435
-100,20200417,1100,50209.37309,20200417,1200,50692.58748
-100,20200417,1330,50420.63414,20200417,1415,49905.42921
100,20200420,1115,47950.13186,20200420,1145,48473.3324
-100,20200420,1145,48473.3324,20200420,1230,48192.77108
-100,20200420,1300,48486.72918,20200420,1315,48254.74646
-100,20200420,1315,48254.74646,20200420,1430,47782.30382
100,20200421,1015,50850.86205,20200421,1130,51163.98056
-100,20200421,1145,51227.80235,20200421,1200,50991.53031
-100,20200422,1015,52479.66413,20200422,1045,51498.74214
100,20200422,1500,50599.47731,20200422,1530,50687.70544
-100,20200423,1345,50115.13953,20200423,1400,49751.36754
100,20200424,1330,50558.67334,20200424,1345,50787.07266
-100,20200424,1430,51360.01315,20200424,1530,51072.52298
-100,20200427,1500,49672.90393,20200427,1530,49701.78926
-100,20200428,1015,49248.95346,20200428,1100,49006.27525
-100,20200428,1230,49067.71344,20200428,1315,48758.96251
-100,20200429,1045,48386.43341,20200429,1115,48196.02286
100,20200430,1230,45566.70168,20200430,1245,45810.72383
-100,20200504,1015,50403.60688,20200504,1045,50200.67721
100,20200504,1345,50344.10194,20200504,1415,50722.92854
-100,20200504,1500,51027.69783,20200504,1530,50818.17258
100,20200505,0930,50251.38254,20200505,1200,50838.84087
-100,20200505,1230,50960.60745,20200505,1315,50422.03241
-100,20200506,0945,52685.09591,20200506,1000,51642.75607
-100,20200506,1445,51244.07811,20200506,1530,50575.03818
-100,20200507,0930,51287.04848,20200507,1530,51164.11145
100,20200508,0930,50402.71771,20200508,1215,50702.99705
-100,20200511,1145,52015.60468,20200511,1215,51803.54025
-100,20200512,1015,54475.28048,20200512,1145,54818.25009
100,20200512,1315,54207.74032,20200512,1345,54504.37806
-100,20200513,1000,51080.87124,20200513,1030,50607.28745
-100,20200513,1330,50921.68245,20200513,1530,50972.16665
100,20200514,1315,51877.98298,20200514,1330,52174.91117
100,20200514,1500,52445.12273,20200514,1530,52482.41839
100,20200515,1245,53307.60353,20200515,1415,53054.90121
100,20200515,1430,52968.90725,20200515,1515,53208.47079
100,20200518,1300,56677.93613,20200518,1515,57012.8678
-100,20200518,1515,57012.8678,20200518,1530,56851.61444
-100,20200519,1130,55853.75253,20200519,1200,55545.5265
-100,20200519,1400,57486.2967,20200519,1430,57072.41348
100,20200520,1015,56753.68899,20200520,1100,57175.85578
100,20200520,1145,56889.61708,20200520,1330,57223.13302
100,20200520,1445,55928.41163,20200520,1530,55741.36009
-100,20200521,1500,56779.62974,20200521,1515,56614.24188
-100,20200526,1145,57097.83142,20200526,1300,56762.38697
-100,20200526,1430,57404.62222,20200526,1530,57109.89657
100,20200527,0930,56889.94072,20200527,0945,57164.74307
100,20200527,1415,53951.98274,20200527,1530,53581.81005
100,20200528,1345,52042.67499,20200528,1400,52336.42903
100,20200528,1515,52203.78269,20200528,1530,52164.29667
-100,20200529,1000,53391.56573,20200529,1015,53111.11642
100,20200601,1015,50049.79955,20200601,1345,50380.37181
-100,20200601,1400,50466.81807,20200601,1530,50359.44051
100,20200602,1045,50130.33888,20200602,1215,49783.44203
100,20200603,1215,47390.22055,20200603,1230,47544.44812
100,20200603,1445,46794.46234,20200603,1500,47595.13673
-100,20200605,1100,48722.73354,20200605,1215,48246.13247
100,20200608,1130,46242.66765,20200608,1145,46371.54271
-100,20200609,0945,47561.97325,20200609,1000,47299.32669
100,20200610,0945,48077.26979,20200610,1045,47689.33261
100,20200610,1430,47862.9206,20200610,1445,48181.16117
-100,20200611,1130,47881.25449,20200611,1245,48339.53691
100,20200611,1315,48090.79542,20200611,1400,48489.19782
-100,20200611,1430,48685.13618,20200611,1530,48727.24438
-100,20200615,1130,50608.69609,20200615,1145,50463.37999
100,20200615,1200,50479.42837,20200615,1215,50782.94607
-100,20200616,1330,50662.15436,20200616,1430,49717.48042
100,20200616,1515,49409.55581,20200616,1530,49517.20723
-100,20200617,0930,49894.59766,20200617,0945,49491.84251
100,20200617,1330,48826.93294,20200617,1445,49267.15113
-100,20200618,0945,49890.61483,20200618,1000,49652.43297
100,20200618,1030,49490.25042,20200618,1215,49183.67397
100,20200619,1500,47003.4148,20200619,1530,46943.94892
-100,20200622,1145,46197.59172,20200622,1245,45856.83496
100,20200622,1430,45510.70981,20200622,1500,45833.71528
100,20200623,1030,45791.63433,20200623,1300,45547.29631
-100,20200625,1300,47337.27811,20200625,1345,46522.44708
-100,20200626,1300,47045.42942,20200626,1430,46631.02502
100,20200629,1115,47551.23051,20200629,1245,47258.97921
100,20200630,0945,46526.99263,20200630,1030,46789.86438
100,20200630,1330,46895.95663,20200630,1430,47403.9241
-100,20200630,1445,47337.16607,20200630,1530,47069.78802
100,20200701,1015,46542.1509,20200701,1130,46255.71547
100,20200703,1200,45472.52777,20200703,1245,45601.71462
100,20200703,1415,45724.73708,20200703,1530,45803.90432
100,20200706,0930,44934.83326,20200706,1530,44961.80495
-100,20200707,1000,45289.85507,20200707,1230,44776.68747
-100,20200708,1200,43940.59232,20200708,1215,43770.95534
-100,20200708,1330,43593.87942,20200708,1345,43386.20666
-100,20200709,1100,43958.94235,20200709,1115,43787.72586
100,20200709,1245,43802.39862,20200709,1315,43998.88243
100,20200709,1345,43819.28925,20200709,1515,43685.29116
-100,20200710,0930,43963.38729,20200710,1045,44216.48391
-100,20200710,1430,44653.72155,20200710,1530,44593.08807
100,20200713,1100,44496.65385,20200713,1115,44908.09558
100,20200713,1245,45065.34475,20200713,1300,45271.70948
-100,20200714,1115,46588.44467,20200714,1145,46381.97411
-100,20200715,1515,46962.13678,20200715,1530,46709.32785
-100,20200716,1045,47143.90441,20200716,1130,47013.8009
100,20200716,1200,46769.18472,20200716,1215,47018.99567
-100,20200717,1115,46362.6206,20200717,1130,46214.99214
100,20200720,1015,44627.61602,20200720,1045,44858.03553
100,20200720,1215,44760.6536,20200720,1345,44964.02878
100,20200722,1130,43750.08203,20200722,1215,43815.44933
100,20200722,1315,43885.53774,20200722,1445,44283.35145
-100,20200723,1015,43898.15628,20200723,1030,43823.12985
100,20200723,1415,43281.51814,20200723,1430,43459.36549
-100,20200723,1445,43412.19883,20200723,1530,43271.31112
-100,20200724,1115,44559.30844,20200724,1400,44345.898
100,20200724,1445,44276.88105,20200724,1530,44218.53685
-100,20200727,1130,45413.36379,20200727,1230,45129.61225
100,20200728,0945,45388.31977,20200728,1000,45793.941
-100,20200728,1030,46074.1379,20200728,1115,45895.24411
-100,20200728,1215,45597.03619,20200728,1415,45304.42307
-100,20200729,0930,44860.45035,20200729,1530,45242.11317
100,20200730,1015,45039.77012,20200730,1245,45289.85507
100,20200731,1230,46293.40296,20200731,1345,46451.13341
100,20200803,1030,46753.11317,20200803,1215,46922.69252
100,20200803,1345,47132.12785,20200803,1415,47214.35316
-100,20200803,1500,47277.97083,20200803,1530,47187.61797
100,20200804,1100,46723.51361,20200804,1130,46599.73392
100,20200804,1330,46483.52159,20200804,1345,46666.38667
100,20200805,1430,46320.74336,20200805,1530,46279.9055
-100,20200806,1115,46404.03529,20200806,1230,45981.23965
100,20200807,1000,46199.5126,20200807,1045,46334.80137
100,20200807,1215,45992.13075,20200807,1230,46176.79247
-100,20200807,1330,46061.72271,20200807,1430,45868.40355
-100,20200810,1030,45489.59312,20200810,1045,45398.82871
100,20200811,1200,45156.9203,20200811,1215,45218.17771
-100,20200811,1215,45218.17771,20200811,1415,45047.27712
-100,20200812,1100,45089.52525,20200812,1200,44976.26378
