qty,entrydate,entrytime,entryprice,exitdate,exittime,exitprice
-100,20200101,1006,30918.68695,20200101,1103,30965.60031
100,20200101,1103,30965.60031,20200101,1500,31000.49446
100,20200102,0918,30893.85181,20200102,1042,30907.93608
-100,20200102,1042,30907.93608,20200102,1500,30723.57082
-100,20200103,0918,30892.80198,20200103,1115,31036.62322
100,20200103,1115,31036.62322,20200103,1500,31168.47496
-100,20200106,0921,31479.70346,20200106,1109,31665.61115
100,20200106,1109,31665.61115,20200106,1315,31776.29488
-100,20200106,1315,31776.29488,20200106,1409,31814.71112
100,20200106,1409,31814.71112,20200106,1500,31865.40055
100,20200107,0921,31399.09665,20200107,1500,31795.4914
-100,20200108,0921,32189.48016,20200108,1048,31968.18526
100,20200108,1048,31968.18526,20200108,1254,31977.43672
-100,20200108,1254,31977.43672,20200108,1500,31756.31474
100,20200109,0918,31318.41115,20200109,1054,31269.69013
-100,20200109,1054,31269.69013,20200109,1500,31110.87605
100,20200110,0918,30988.48623,20200110,1027,30971.21071
-100,20200110,1027,30971.21071,20200110,1315,30995.44987
100,20200110,1315,30995.44987,20200110,1500,31177.94971
100,20200113,0921,30893.75637,20200113,1039,30983.73354
-100,20200113,1039,30983.73354,20200113,1054,31000.062
100,20200113,1054,31000.062,20200113,1500,31024.10573
-100,20200114,0921,31156.48187,20200114,1500,31052.18786
-100,20200115,0921,31347.96238,20200115,1236,31397.17425
100,20200115,1236,31397.17425,20200115,1500,31359.75916
-100,20200116,1006,31254.88358,20200116,1112,31466.92512
100,20200116,1112,31466.92512,20200116,1245,31357.54659
-100,20200116,1245,31357.54659,20200116,1427,31274.43315
100,20200116,1427,31274.43315,20200116,1500,31313.1155
-100,20200117,0918,31582.40481,20200117,1148,31498.04712
100,20200117,1148,31498.04712,20200117,1500,31489.56672
100,20200120,0918,31482.2802,20200120,1500,32064.95076
100,20200121,1027,32198.60097,20200121,1157,32207.41576
-100,20200121,1157,32207.41576,20200121,1500,32185.43963
100,20200122,0918,32046.0951,20200122,1500,32451.99134
-100,20200123,0918,32549.5404,20200123,1045,32403.14699
100,20200123,1045,32403.14699,20200123,1242,32211.04678
-100,20200123,1242,32211.04678,20200123,1500,32169.85684
-100,20200124,0921,32317.80032,20200124,1500,31901.58998
-100,20200127,0918,32170.32256,20200127,1327,32239.3449
100,20200127,1327,32239.3449,20200127,1500,32372.72663
100,20200128,0918,32343.25247,20200128,1500,32545.67378
100,20200129,0918,32308.71625,20200129,1400,32209.12742
-100,20200129,1400,32209.12742,20200129,1500,32320.3594
-100,20200130,0918,32515.14393,20200130,1018,32607.38427
100,20200130,1018,32607.38427,20200130,1142,32647.73098
-100,20200130,1142,32647.73098,20200130,1315,32696.83495
100,20200130,1315,32696.83495,20200130,1500,32689.83395
-100,20200131,1009,32271.70191,20200131,1033,32286.3411
100,20200131,1033,32286.3411,20200131,1257,32350.83837
-100,20200131,1257,32350.83837,20200131,1500,32198.75648
-100,20200201,0918,32571.168,20200201,1136,32389.71303
100,20200201,1136,32389.71303,20200201,1239,32487.67905
-100,20200201,1239,32487.67905,20200201,1336,32948.92916
100,20200201,1336,32948.92916,20200201,1412,32908.80969
-100,20200201,1412,32908.80969,20200201,1500,33333.72223
-100,20200203,0918,33576.25756,20200203,1139,33403.53643
100,20200203,1139,33403.53643,20200203,1212,33474.48407
-100,20200203,1212,33474.48407,20200203,1500,33233.63244
-100,20200204,1024,32912.05898,20200204,1418,32536.19652
100,20200204,1418,32536.19652,20200204,1500,32534.82039
-100,20200205,1018,32435.88642,20200205,1127,32386.56605
100,20200205,1127,32386.56605,20200205,1424,32285.55932
-100,20200205,1424,32285.55932,20200205,1500,32213.07013
-100,20200206,1003,32207.41576,20200206,1403,31858.95404
100,20200206,1403,31858.95404,20200206,1500,31917.32137
-100,20200207,0918,32027.67191,20200207,1012,32057.39556
100,20200207,1012,32057.39556,20200207,1206,32066.69873
-100,20200207,1206,32066.69873,20200207,1500,32014.23993
-100,20200210,0918,32128.56567,20200210,1045,32218.986
100,20200210,1045,32218.986,20200210,1103,32205.13382
-100,20200210,1103,32205.13382,20200210,1500,32198.96384
100,20200211,0918,31899.96172,20200211,1500,31882.67177
-100,20200212,1024,31675.64143,20200212,1500,31667.76712
-100,20200213,0918,31781.24335,20200213,1206,31964.2001
100,20200213,1206,31964.2001,20200213,1500,32041.32049
100,20200214,0921,31815.36905,20200214,1139,32187.45977
-100,20200214,1139,32187.45977,20200214,1248,32237.26628
100,20200214,1248,32237.26628,20200214,1500,32360.62683
100,20200217,0918,32283.00574,20200217,1500,32488.68176
-100,20200218,0921,32739.06474,20200218,1136,32885.21744
100,20200218,1136,32885.21744,20200218,1306,32952.07779
-100,20200218,1306,32952.07779,20200218,1500,32830.37203
-100,20200219,1021,32548.9577,20200219,1342,32484.40748
100,20200219,1342,32484.40748,20200219,1500,32394.38217
-100,20200220,0918,32506.47692,20200220,1403,32283.83952
100,20200220,1403,32283.83952,20200220,1500,32360.36502
-100,20200224,0918,32813.78179,20200224,1048,32754.39933
100,20200224,1048,32754.39933,20200224,1500,32853.13008
100,20200225,0918,32845.79229,20200225,1127,32749.25045
-100,20200225,1127,32749.25045,20200225,1321,32780.65155
100,20200225,1321,32780.65155,20200225,1339,32799.03702
-100,20200225,1339,32799.03702,20200225,1418,32914.38803
100,20200225,1418,32914.38803,20200225,1500,32806.94589
-100,20200226,0921,32967.44959,20200226,1115,33071.24373
100,20200226,1115,33071.24373,20200226,1336,32938.07642
-100,20200226,1336,32938.07642,20200226,1500,33057.85124
100,20200227,1015,33321.33765,20200227,1500,33159.02738
-100,20200228,0921,33749.52118,20200228,1003,34013.60544
100,20200228,1003,34013.60544,20200228,1245,34188.03419
-100,20200228,1245,34188.03419,20200228,1430,34231.92127
100,20200228,1430,34231.92127,20200228,1500,34411.56228
100,20200302,0918,33961.62337,20200302,1351,33813.25615
-100,20200302,1351,33813.25615,20200302,1500,34252.44049
100,20200303,0918,34226.64887,20200303,1500,34265.82053
-100,20200304,0918,34323.27375,20200304,1033,34546.19258
100,20200304,1033,34546.19258,20200304,1427,35187.6027
-100,20200304,1427,35187.6027,20200304,1500,34931.99614
100,20200305,0918,34592.44051,20200305,1015,34928.39679
-100,20200305,1015,34928.39679,20200305,1124,34448.31031
100,20200305,1124,34448.31031,20200305,1500,34621.18366
100,20200306,1003,36016.56762,20200306,1133,36320.11826
-100,20200306,1133,36320.11826,20200306,1339,35945.75067
100,20200306,1339,35945.75067,20200306,1500,35807.38492
-100,20200309,0918,36949.04357,20200309,1009,37337.25623
100,20200309,1009,37337.25623,20200309,1024,37356.92298
-100,20200309,1024,37356.92298,20200309,1106,37443.15661
100,20200309,1106,37443.15661,20200309,1500,37691.11752
-100,20200311,1003,37798.60901,20200311,1027,37982.23191
100,20200311,1027,37982.23191,20200311,1203,37586.91975
-100,20200311,1203,37586.91975,20200311,1218,37664.64156
100,20200311,1218,37664.64156,20200311,1345,37517.82096
-100,20200311,1345,37517.82096,20200311,1403,37813.4022
100,20200311,1403,37813.4022,20200311,1500,37608.05264
-100,20200312,0918,39740.57354,20200312,1009,39914.98109
100,20200312,1009,39914.98109,20200312,1230,40616.06447
-100,20200312,1230,40616.06447,20200312,1242,40866.53399
100,20200312,1242,40866.53399,20200312,1254,40713.37984
-100,20200312,1254,40713.37984,20200312,1312,40785.44612
100,20200312,1312,40785.44612,20200312,1351,40650.4065
-100,20200312,1351,40650.4065,20200312,1421,41245.61765
100,20200312,1421,41245.61765,20200312,1500,42385.90245
100,20200313,1024,43821.20947,20200313,1057,42237.75633
-100,20200313,1057,42237.75633,20200313,1151,42300.11083
100,20200313,1151,42300.11083,20200313,1206,41673.4386
-100,20200313,1206,41673.4386,20200313,1500,40084.81948
-100,20200316,0918,41781.30412,20200316,1003,42363.99569
100,20200316,1003,42363.99569,20200316,1103,42219.38883
-100,20200316,1103,42219.38883,20200316,1130,42392.01165
100,20200316,1130,42392.01165,20200316,1500,43689.10831
-100,20200317,0918,43721.67655,20200317,1136,43773.15874
100,20200317,1136,43773.15874,20200317,1157,43573.45941
-100,20200317,1157,43573.45941,20200317,1221,43487.90384
100,20200317,1221,43487.90384,20200317,1500,45019.8988
100,20200318,0918,44947.9615,20200318,1045,46349.83465
-100,20200318,1045,46349.83465,20200318,1118,47193.63075
100,20200318,1118,47193.63075,20200318,1500,49296.5384
-100,20200319,0921,52742.75512,20200319,1500,49799.68078
-100,20200320,0918,50366.28884,20200320,1006,50530.571
100,20200320,1006,50530.571,20200320,1106,51215.47117
-100,20200320,1106,51215.47117,20200320,1415,50467.4548
100,20200320,1415,50467.4548,20200320,1500,49547.63014
-100,20200323,0921,53109.70606,20200323,1106,56192.24491
100,20200323,1106,56192.24491,20200323,1500,58910.162
100,20200324,0921,56497.01555,20200324,1045,60532.68765
-100,20200324,1045,60532.68765,20200324,1209,59070.06004
100,20200324,1209,59070.06004,20200324,1236,58701.80948
-100,20200324,1236,58701.80948,20200324,1318,57454.75438
100,20200324,1318,57454.75438,20200324,1339,57276.55699
-100,20200324,1339,57276.55699,20200324,1418,57620.78036
100,20200324,1418,57620.78036,20200324,1500,59389.65254
-100,20200325,1018,59320.07332,20200325,1500,53980.66952
-100,20200326,0921,54311.07756,20200326,1142,50395.6055
100,20200326,1142,50395.6055,20200326,1218,49920.6262
-100,20200326,1218,49920.6262,20200326,1345,51230.95169
100,20200326,1345,51230.95169,20200326,1424,52205.69042
-100,20200326,1424,52205.69042,20200326,1500,50790.16804
100,20200327,0918,48248.34388,20200327,1003,47961.6307
-100,20200327,1003,47961.6307,20200327,1021,48640.49808
100,20200327,1021,48640.49808,20200327,1351,50454.59591
-100,20200327,1351,50454.59591,20200327,1500,50563.91405
-100,20200330,0918,52280.33763,20200330,1142,51085.56833
100,20200330,1142,51085.56833,20200330,1500,53185.83129
-100,20200331,1003,52786.18691,20200331,1057,52441.27233
100,20200331,1057,52441.27233,20200331,1136,52700.08906
-100,20200331,1136,52700.08906,20200331,1424,51962.08846
100,20200331,1424,51962.08846,20200331,1500,51719.01062
-100,20200401,0918,53155.86362,20200401,1003,53927.68836
100,20200401,1003,53927.68836,20200401,1136,55131.65439
-100,20200401,1136,55131.65439,20200401,1312,55032.13877
100,20200401,1312,55032.13877,20200401,1500,54907.94683
100,20200403,1003,56564.44529,20200403,1212,57139.26553
-100,20200403,1212,57139.26553,20200403,1254,57339.94272
100,20200403,1254,57339.94272,20200403,1312,57083.65324
-100,20200403,1312,57083.65324,20200403,1409,57792.11022
100,20200403,1409,57792.11022,20200403,1500,58190.28222
100,20200407,0921,55168.00035,20200407,1003,54878.26629
-100,20200407,1003,54878.26629,20200407,1027,55380.18497
100,20200407,1027,55380.18497,20200407,1115,55024.71986
-100,20200407,1115,55024.71986,20200407,1500,52415.29688
-100,20200408,0918,53695.45549,20200408,1045,50139.5132
100,20200408,1045,50139.5132,20200408,1133,50952.81769
-100,20200408,1133,50952.81769,20200408,1154,51958.84859
100,20200408,1154,51958.84859,20200408,1427,53191.63083
-100,20200408,1427,53191.63083,20200408,1500,52728.29374
100,20200409,0918,51062.22187,20200409,1012,51211.93033
-100,20200409,1012,51211.93033,20200409,1109,51813.4715
100,20200409,1109,51813.4715,20200409,1148,51260.75835
-100,20200409,1148,51260.75835,20200409,1212,51506.43444
100,20200409,1212,51506.43444,20200409,1239,51348.01373
-100,20200409,1239,51348.01373,20200409,1500,50726.27342
-100,20200413,0918,50981.91162,20200413,1003,51966.13886
100,20200413,1003,51966.13886,20200413,1012,51639.42257
-100,20200413,1012,51639.42257,20200413,1027,51746.44243
100,20200413,1027,51746.44243,20200413,1048,51545.9932
-100,20200413,1048,51545.9932,20200413,1421,51755.41426
100,20200413,1421,51755.41426,20200413,1500,51286.91696
-100,20200415,1012,49787.53171,20200415,1136,50012.50313
100,20200415,1136,50012.50313,20200415,1500,52717.17499
-100,20200416,0918,53022.40992,20200416,1406,51810.92122
100,20200416,1406,51810.92122,20200416,1500,51658.22916
-100,20200417,1009,49293.13642,20200417,1024,49511.81352
100,20200417,1024,49511.81352,20200417,1227,50502.75493
-100,20200417,1227,50502.75493,20200417,1500,48861.52643
-100,20200420,0918,48146.71266,20200420,1024,48350.75572
100,20200420,1024,48350.75572,20200420,1036,47976.35725
-100,20200420,1036,47976.35725,20200420,1142,48435.53231
100,20200420,1142,48435.53231,20200420,1203,48394.51206
-100,20200420,1203,48394.51206,20200420,1254,48473.09743
100,20200420,1254,48473.09743,20200420,1309,48285.38595
-100,20200420,1309,48285.38595,20200420,1500,48825.62173
-100,20200421,0918,50432.45833,20200421,1003,50714.05388
100,20200421,1003,50714.05388,20200421,1206,51007.39607
-100,20200421,1206,51007.39607,20200421,1239,51641.42262
100,20200421,1239,51641.42262,20200421,1500,51773.23324
-100,20200422,0918,52184.16837,20200422,1012,52520.18088
100,20200422,1012,52520.18088,20200422,1048,51559.81325
-100,20200422,1048,51559.81325,20200422,1142,51490.65445
100,20200422,1142,51490.65445,20200422,1309,51457.40228
-100,20200422,1309,51457.40228,20200422,1345,51980.18515
100,20200422,1345,51980.18515,20200422,1400,51732.92361
-100,20200422,1400,51732.92361,20200422,1500,50599.47731
-100,20200423,0918,50782.04347,20200423,1500,49316.9601
100,20200424,1003,50730.3908,20200424,1221,51044.62832
-100,20200424,1221,51044.62832,20200424,1309,50581.81735
100,20200424,1309,50581.81735,20200424,1500,51174.7156
-100,20200427,1027,49661.06324,20200427,1206,49838.15061
100,20200427,1206,49838.15061,20200427,1233,49652.3097
-100,20200427,1233,49652.3097,20200427,1430,49844.85788
100,20200427,1430,49844.85788,20200427,1500,49672.90393
100,20200428,0921,48912.55169,20200428,1112,49013.0007
-100,20200428,1112,49013.0007,20200428,1230,49067.71344
100,20200428,1230,49067.71344,20200428,1300,48979.63182
-100,20200428,1300,48979.63182,20200428,1500,48456.65552
